,sample_name,forward_primer,reverse_primer
K12,My sample 1186,T7,T7term
L12,My sample 1187,T7,T7term
M12,My sample 1188,T7,T7term
N12,My sample 1189,T7,T7term
O12,My sample 1190,T7,T7term
P12,My sample 1191,T7,T7term
A13,My sample 1192,T7,T7term
B13,My sample 1193,T7,T7term
C13,My sample 1194,T7,T7term
D13,My sample 1195,T7,T7term
E13,My sample 1196,T7,T7term
F13,My sample 1197,T7,T7term
G13,My sample 1198,T7,T7term
H13,My sample 1199,T7,T7term
I13,My sample 1200,T7,T7term
J13,My sample 1201,T7,T7term
K13,My sample 1202,T7,T7term
L13,My sample 1203,T7,T7term
M13,My sample 1204,T7,T7term
N13,My sample 1205,T7,T7term
O13,My sample 1206,T7,T7term
P13,My sample 1207,T7,T7term
A14,My sample 1208,T7,T7term
B14,My sample 1209,T7,T7term
C14,My sample 1210,T7,T7term
D14,My sample 1211,T7,T7term
E14,My sample 1212,T7,T7term
F14,My sample 1213,T7,T7term
G14,My sample 1214,T7,T7term
H14,My sample 1215,T7,T7term
I14,My sample 1216,T7,T7term
J14,My sample 1217,T7,T7term
K14,My sample 1218,T7,T7term
L14,My sample 1219,T7,T7term
M14,My sample 1220,T7,T7term
N14,My sample 1221,T7,T7term
O14,My sample 1222,T7,T7term
P14,My sample 1223,T7,T7term
A15,My sample 1224,T7,T7term
B15,My sample 1225,T7,T7term
C15,My sample 1226,T7,T7term
D15,My sample 1227,T7,T7term
E15,My sample 1228,T7,T7term
F15,My sample 1229,T7,T7term
G15,My sample 1230,T7,T7term
H15,My sample 1231,T7,T7term
I15,My sample 1232,T7,T7term
J15,My sample 1233,T7,T7term
K15,My sample 1234,T7,T7term
L15,My sample 1235,T7,T7term
M15,My sample 1236,T7,T7term
N15,My sample 1237,T7,T7term
O15,My sample 1238,T7,T7term
P15,My sample 1239,T7,T7term
A16,My sample 1240,T7,T7term
B16,My sample 1241,T7,T7term
C16,My sample 1242,T7,T7term
D16,My sample 1243,T7,T7term
E16,My sample 1244,T7,T7term
F16,My sample 1245,T7,T7term
G16,My sample 1246,T7,T7term
H16,My sample 1247,T7,T7term
I16,My sample 1248,T7,T7term
J16,My sample 1249,T7,T7term
K16,My sample 1250,T7,T7term
L16,My sample 1251,T7,T7term
M16,My sample 1252,T7,T7term
N16,My sample 1253,T7,T7term
O16,My sample 1254,T7,T7term
P16,My sample 1255,T7,T7term
A17,My sample 1256,T7,T7term
B17,My sample 1257,T7,T7term
C17,My sample 1258,T7,T7term
D17,My sample 1259,T7,T7term
E17,My sample 1260,T7,T7term
F17,My sample 1261,T7,T7term
G17,My sample 1262,T7,T7term
H17,My sample 1263,T7,T7term
I17,My sample 1264,T7,T7term
J17,My sample 1265,T7,T7term
K17,My sample 1266,T7,T7term
L17,My sample 1267,T7,T7term
M17,My sample 1268,T7,T7term
N17,My sample 1269,T7,T7term
O17,My sample 1270,T7,T7term
P17,My sample 1271,T7,T7term
A18,My sample 1272,T7,T7term
B18,My sample 1273,T7,T7term
C18,My sample 1274,T7,T7term
D18,My sample 1275,T7,T7term
E18,My sample 1276,T7,T7term
F18,My sample 1277,T7,T7term
G18,My sample 1278,T7,T7term
H18,My sample 1279,T7,T7term
I18,My sample 1280,T7,T7term
J18,My sample 1281,T7,T7term
K18,My sample 1282,T7,T7term
L18,My sample 1283,T7,T7term
M18,My sample 1284,T7,T7term
N18,My sample 1285,T7,T7term
O18,My sample 1286,T7,T7term
P18,My sample 1287,T7,T7term
A19,My sample 1288,T7,T7term
B19,My sample 1289,T7,T7term
C19,My sample 1290,T7,T7term
D19,My sample 1291,T7,T7term
E19,My sample 1292,T7,T7term
F19,My sample 1293,T7,T7term
G19,My sample 1294,T7,T7term
H19,My sample 1295,T7,T7term
I19,My sample 1296,T7,T7term
J19,My sample 1297,T7,T7term
K19,My sample 1298,T7,T7term
L19,My sample 1299,T7,T7term
M19,My sample 1300,T7,T7term
N19,My sample 1301,T7,T7term
O19,My sample 1302,T7,T7term
P19,My sample 1303,T7,T7term
A20,My sample 1304,T7,T7term
B20,My sample 1305,T7,T7term
C20,My sample 1306,T7,T7term
D20,My sample 1307,T7,T7term
E20,My sample 1308,T7,T7term
F20,My sample 1309,T7,T7term
G20,My sample 1310,T7,T7term
H20,My sample 1311,T7,T7term
I20,My sample 1312,T7,T7term
J20,My sample 1313,T7,T7term
K20,My sample 1314,T7,T7term
L20,My sample 1315,T7,T7term
M20,My sample 1316,T7,T7term
N20,My sample 1317,T7,T7term
O20,My sample 1318,T7,T7term
P20,My sample 1319,T7,T7term
A21,My sample 1320,T7,T7term
B21,My sample 1321,T7,T7term
C21,My sample 1322,T7,T7term
D21,My sample 1323,T7,T7term
E21,My sample 1324,T7,T7term
F21,My sample 1325,T7,T7term
G21,My sample 1326,T7,T7term
H21,My sample 1327,T7,T7term
I21,My sample 1328,T7,T7term
J21,My sample 1329,T7,T7term
K21,My sample 1330,T7,T7term
L21,My sample 1331,T7,T7term
M21,My sample 1332,T7,T7term
N21,My sample 1333,T7,T7term
O21,My sample 1334,T7,T7term
P21,My sample 1335,T7,T7term
A22,My sample 1336,T7,T7term
B22,My sample 1337,T7,T7term
C22,My sample 1338,T7,T7term
D22,My sample 1339,T7,T7term
E22,My sample 1340,T7,T7term
F22,My sample 1341,T7,T7term
G22,My sample 1342,T7,T7term
H22,My sample 1343,T7,T7term
I22,My sample 1344,T7,T7term
J22,My sample 1345,T7,T7term
K22,My sample 1346,T7,T7term
L22,My sample 1347,T7,T7term
M22,My sample 1348,T7,T7term
N22,My sample 1349,T7,T7term
O22,My sample 1350,T7,T7term
P22,My sample 1351,T7,T7term
A23,My sample 1352,T7,T7term
B23,My sample 1353,T7,T7term
C23,My sample 1354,T7,T7term
D23,My sample 1355,T7,T7term
E23,My sample 1356,T7,T7term
F23,My sample 1357,T7,T7term
G23,My sample 1358,T7,T7term
H23,My sample 1359,T7,T7term
I23,My sample 1360,T7,T7term
J23,My sample 1361,T7,T7term
K23,My sample 1362,T7,T7term
L23,My sample 1363,T7,T7term
M23,My sample 1364,T7,T7term
N23,My sample 1365,T7,T7term
O23,My sample 1366,T7,T7term
P23,My sample 1367,T7,T7term
A24,My sample 1368,T7,T7term
B24,My sample 1369,T7,T7term
C24,My sample 1370,T7,T7term
D24,My sample 1371,T7,T7term
E24,My sample 1372,T7,T7term
F24,My sample 1373,T7,T7term
G24,My sample 1374,T7,T7term
H24,My sample 1375,T7,T7term
I24,My sample 1376,T7,T7term
J24,My sample 1377,T7,T7term
K24,My sample 1378,T7,T7term
L24,My sample 1379,T7,T7term
M24,My sample 1380,T7,T7term
N24,My sample 1381,T7,T7term
O24,My sample 1382,T7,T7term
P24,My sample 1383,T7,T7term
